"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","PROJ-104 | should show error for locked out user","chromium","Sat Feb 21 08:37:17 UTC 2026","passed","Sat Feb 21 08:37:18 UTC 2026","Login Page","auth/login.spec.ts","",""
"","504","PROJ-105 | should show error when username is empty","chromium","Sat Feb 21 08:37:18 UTC 2026","passed","Sat Feb 21 08:37:18 UTC 2026","Login Page","auth/login.spec.ts","",""
"","549","PROJ-213 | should add product to cart from detail page","chromium","Sat Feb 21 08:37:29 UTC 2026","passed","Sat Feb 21 08:37:29 UTC 2026","Product Detail Page","inventory/product-detail.spec.ts","",""
"","1631","PROJ-211 | should logout successfully","chromium","Sat Feb 21 08:37:27 UTC 2026","passed","Sat Feb 21 08:37:29 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","695","PROJ-101 | should display login page elements","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:15 UTC 2026","Login Page","auth/login.spec.ts","",""
"","659","PROJ-210 | should navigate to product detail page","chromium","Sat Feb 21 08:37:27 UTC 2026","passed","Sat Feb 21 08:37:28 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","765","PROJ-202 | should add product to cart and update badge","chromium","Sat Feb 21 08:37:24 UTC 2026","passed","Sat Feb 21 08:37:25 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","984","PROJ-406 | should show error for empty postal code","chromium","Sat Feb 21 08:37:23 UTC 2026","passed","Sat Feb 21 08:37:24 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","1054","PROJ-401 | should complete full checkout flow","chromium","Sat Feb 21 08:37:21 UTC 2026","passed","Sat Feb 21 08:37:22 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","601","PROJ-201 | should display products after login","chromium","Sat Feb 21 08:37:24 UTC 2026","passed","Sat Feb 21 08:37:24 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","744","PROJ-212 | should display product details","chromium","Sat Feb 21 08:37:28 UTC 2026","passed","Sat Feb 21 08:37:29 UTC 2026","Product Detail Page","inventory/product-detail.spec.ts","",""
"","948","PROJ-304 | should remove item from cart","chromium","Sat Feb 21 08:37:19 UTC 2026","passed","Sat Feb 21 08:37:20 UTC 2026","Cart Page","cart/cart.spec.ts","",""
"","607","PROJ-103 | should show error for invalid credentials","chromium","Sat Feb 21 08:37:17 UTC 2026","passed","Sat Feb 21 08:37:18 UTC 2026","Login Page","auth/login.spec.ts","",""
"","44","PROJ-507 | PATCH /posts/:id - should partially update a post","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","1092","PROJ-403 | should return to products after checkout complete","chromium","Sat Feb 21 08:37:22 UTC 2026","passed","Sat Feb 21 08:37:23 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","869","PROJ-302 | should proceed to checkout","chromium","Sat Feb 21 08:37:18 UTC 2026","passed","Sat Feb 21 08:37:19 UTC 2026","Cart Page","cart/cart.spec.ts","",""
"","894","PROJ-404 | should show error for empty first name","chromium","Sat Feb 21 08:37:22 UTC 2026","passed","Sat Feb 21 08:37:23 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","35","PROJ-504 | GET /posts - should return list of posts","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","891","PROJ-102 | should login with valid credentials","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:15 UTC 2026","Login Page","auth/login.spec.ts","",""
"","903","PROJ-402 | should cancel checkout and return to cart","chromium","Sat Feb 21 08:37:21 UTC 2026","passed","Sat Feb 21 08:37:22 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","761","PROJ-214 | should remove product from cart on detail page","chromium","Sat Feb 21 08:37:29 UTC 2026","passed","Sat Feb 21 08:37:30 UTC 2026","Product Detail Page","inventory/product-detail.spec.ts","",""
"","817","PROJ-301 | should display cart with added items","chromium","Sat Feb 21 08:37:18 UTC 2026","passed","Sat Feb 21 08:37:19 UTC 2026","Cart Page","cart/cart.spec.ts","",""
"","912","PROJ-303 | should display correct item names in cart","chromium","Sat Feb 21 08:37:19 UTC 2026","passed","Sat Feb 21 08:37:20 UTC 2026","Cart Page","cart/cart.spec.ts","",""
"","729","PROJ-204 | should add multiple products to cart","chromium","Sat Feb 21 08:37:25 UTC 2026","passed","Sat Feb 21 08:37:26 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","831","PROJ-208 | should sort products by price low to high","chromium","Sat Feb 21 08:37:26 UTC 2026","passed","Sat Feb 21 08:37:27 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","944","PROJ-305 | should continue shopping from cart","chromium","Sat Feb 21 08:37:20 UTC 2026","passed","Sat Feb 21 08:37:21 UTC 2026","Cart Page","cart/cart.spec.ts","",""
